,Data Type,Non-Null Count,Missing Values,Missing %,Unique Values
countrynewwb,object,8577,0,0.0,174
codewb,object,8577,0,0.0,174
year,int64,8577,0,0.0,6
pop_adult,float64,7893,684,7.97,712
regionwb24_hi,object,7893,684,7.97,7
incomegroupwb24,object,7893,684,7.97,4
group,object,8577,0,0.0,7
group2,object,8577,0,0.0,13
account_t_d,float64,8487,90,1.05,8299
fiaccount_t_d,float64,8395,182,2.12,8207
mobileaccount_t_d,float64,2527,6050,70.54,2523
borrow_any_t_d,float64,6412,2165,25.24,6411
fin4_d,float64,1123,7454,86.91,1122
dig_acc,float64,1375,7202,83.97,1374
fin11_2a,float64,620,7957,92.77,608
fin11a,float64,440,8137,94.87,428
fin11b,float64,512,8065,94.03,511
fin11c,float64,356,8221,95.85,355
fin11f,float64,380,8197,95.57,379
fin11d,float64,608,7969,92.91,596
fin11e,float64,740,7837,91.37,727
fin14a,float64,277,8300,96.77,277
fin14b,float64,265,8312,96.91,265
fin14c,float64,336,8241,96.08,335
fin14d,float64,454,8123,94.71,453
fin13_1a,float64,322,8255,96.25,321
fin13_1b,float64,239,8338,97.21,239
fin26a,float64,3170,5407,63.04,3168
fin26b,float64,1959,6618,77.16,1959
fin27a,float64,1223,7354,85.74,1192
fin27b,float64,659,7918,92.32,630
fin17f,float64,442,8135,94.85,441
fin17a_17a1_d,float64,6192,2385,27.81,6190
fin17a,float64,5712,2865,33.4,5710
fin17b,float64,1002,7575,88.32,981
fin17c,float64,2932,5645,65.82,2836
fin22d,float64,4038,4539,52.92,4037
fin22e,float64,1673,6904,80.49,1672
fin22a_22a1_22g_d,float64,4956,3621,42.22,4953
fin22a,float64,3477,5100,59.46,3470
fin22a_22g,float64,4561,4016,46.82,4559
fin22a_1,float64,344,8233,95.99,342
fin22b,float64,6044,2533,29.53,6043
fin22c,float64,958,7619,88.83,886
fin24sav,float64,2419,6158,71.8,2419
fin24fam,float64,2996,5581,65.07,2995
fin24work,float64,2493,6084,70.93,2492
fin24bor,float64,856,7721,90.02,855
fin24sell,float64,1130,7447,86.83,1129
fin24other,float64,257,8320,97.0,257
fin24aVD,float64,2908,5669,66.1,2907
fin24aSD,float64,3036,5541,64.6,3035
fin24aND,float64,2695,5882,68.58,2695
fin24aSD_ND,float64,3036,5541,64.6,3035
