,count,mean,std,min,25%,50%,75%,max
year,8577.0,2017.7615716450973,4.70715919809505,2011.0,2014.0,2017.0,2022.0,2024.0
pop_adult,7893.0,37967795.21424047,126851847.92820007,228016.0,3749429.0,8529919.0,25769271.0,1176678702.0
account_t_d,8487.0,0.6086452140868828,0.2812923413004285,0.0040491151711883,0.3736792745716585,0.619083851929624,0.875771541056988,1.0
fiaccount_t_d,8395.0,0.5778246568051202,0.3004302862899446,0.0040491151711883,0.305505704948433,0.573062136250947,0.8745646309588325,1.0
mobileaccount_t_d,2527.0,0.2840005868493651,0.18770516340672053,0.0,0.134864301538399,0.243727472289491,0.406948580855648,0.939387671578375
borrow_any_t_d,6412.0,0.5050788522986327,0.14783902282339634,0.0667380349992535,0.404863524455796,0.49330122737177196,0.5992422866224558,0.960750468446963
fin4_d,1123.0,0.3454467389484244,0.19640167198943875,0.0182662469530035,0.17784402945245048,0.31590772419982,0.49983765484639653,0.856300247884326
dig_acc,1375.0,0.46343188215057374,0.22271163524542104,0.028119792814563,0.2769277403602135,0.452995536728934,0.630784995359133,0.984624911865744
fin11_2a,620.0,0.22984146644609657,0.11964299139893478,0.0,0.1415962983308925,0.2102554445985205,0.29214262461403273,0.650279775091393
fin11a,440.0,0.17783478982466758,0.08914162520185524,0.0,0.11252408581824225,0.166668652632744,0.23215938774605926,0.438151084692597
fin11b,512.0,0.20855495366494872,0.10174431971896702,0.0,0.12987947694415602,0.19721806696879252,0.27265163952147,0.552674968575215
fin11c,356.0,0.15223432235972023,0.06729039260824077,0.0,0.1156663049614335,0.1456809534770685,0.18611975867189626,0.389971864768019
fin11f,380.0,0.16503361573787229,0.09884123644268854,0.0,0.10733843345478775,0.150435063302016,0.198763321898569,0.6334460840451
fin11d,608.0,0.2751258181479043,0.1636364206335389,0.0,0.1413684424176165,0.234914397011307,0.41022308307016697,0.746900991866004
fin11e,740.0,0.1760571741279757,0.07491036341209938,0.0,0.12404718154868424,0.1642285574327205,0.21805055009235774,0.546146688921327
fin14a,277.0,0.2000126249707083,0.11073540490148293,0.0142668663682701,0.118156437046479,0.18097283353341,0.264870868509088,0.506606869867928
fin14b,265.0,0.1945558437130396,0.09778452429057784,0.0234724517982352,0.120490456252453,0.169572932774856,0.268741997780431,0.479796495004436
fin14c,336.0,0.19807334972679122,0.11538974293914558,0.0314979775800694,0.11620976287474424,0.1628836739169105,0.246789627286879,0.572503566232643
fin14d,454.0,0.3141854895059286,0.15761685912945814,0.0341492487692347,0.19138402575354627,0.28490381344312654,0.41712017710920246,0.745708336172234
fin13_1a,322.0,0.20770297129399962,0.0832726603351596,0.0,0.139480339414996,0.208133190365307,0.26678880213613326,0.402473544849868
fin13_1b,239.0,0.14590230631792125,0.06005843349293266,0.0035987463662551,0.105015268545118,0.139650537544485,0.1863711191178985,0.311390808842242
fin26a,3170.0,0.32380534093314006,0.22017279700180917,0.0,0.14384308281898073,0.268789419216996,0.47992783674780476,0.96006303111223
fin26b,1959.0,0.33246526923316283,0.22726184257397444,0.0,0.14385228609525552,0.260831043332227,0.504629097003142,0.954331433865546
fin27a,1223.0,0.23528478802120012,0.18659840426990368,0.0,0.09167019523269354,0.182527462619355,0.3547845099788275,0.92281980728335
fin27b,659.0,0.12277893001245933,0.08517519742550309,0.0,0.049958021729325605,0.117847011591927,0.17921408099477798,0.517617691230528
fin17f,442.0,0.14553342460345062,0.10018308112077845,0.0,0.07049419510689249,0.124878100350233,0.19749303611636,0.516515485754013
fin17a_17a1_d,6192.0,0.2801140452934615,0.181232077450714,0.0,0.13942756502479825,0.2318820525305795,0.3862266621196562,0.876543998484332
fin17a,5712.0,0.27127005850826064,0.18362905474216348,0.0,0.13230136824970073,0.21528083469173298,0.37322908018381873,0.876543998484332
fin17b,1002.0,0.20562947732537953,0.13502036936205597,0.0,0.110225733084882,0.187946919163414,0.27668611439700724,0.692497847402759
fin17c,2932.0,0.18774026056165843,0.1037504331327602,0.0,0.11442443019646525,0.1736724567154335,0.25585765682867073,0.573678699062737
fin22d,4038.0,0.1858586284682525,0.09159002385724994,0.0,0.12225077088269401,0.169257691219383,0.23398849422947748,0.684721635064812
fin22e,1673.0,0.1278089948228372,0.06375089630724058,0.0053683107525841,0.0859907022361622,0.12219966416282,0.164372846799599,0.357649860353057
fin22a_22a1_22g_d,4956.0,0.24935902089590728,0.16902724399908847,0.0,0.128134531350752,0.19976228549407,0.32007858626263547,0.943976280410579
fin22a,3477.0,0.14642340913904564,0.07220992752889309,0.0,0.097584652595647,0.138728155367626,0.183485649636605,0.553285476895911
fin22a_22g,4561.0,0.25260453052739545,0.17372515312385434,0.0,0.128852120987045,0.200248364832174,0.326232495405517,0.943976280410579
fin22a_1,344.0,0.1051255532489334,0.09515544118099227,0.0,0.025360354357083576,0.08203417685794145,0.165110182161286,0.404303837230113
fin22b,6044.0,0.2827755350192134,0.12402438529146298,0.0,0.18569284584058898,0.267558072243959,0.3646803227716733,0.752903488805728
fin22c,958.0,0.10214850208098929,0.0789066318700685,0.0,0.030927620943126025,0.09985274082124625,0.148565436994563,0.381198661921189
fin24sav,2419.0,0.22045631197118837,0.14849873410912826,0.0,0.1238419722488535,0.170424868562589,0.25861241625111253,0.768730801750971
fin24fam,2996.0,0.36365561939380203,0.12678834607860365,0.0,0.28565563238081126,0.359057742928217,0.4367362726739275,0.846863344699324
fin24work,2493.0,0.1790465108926424,0.0857767840667688,0.0,0.121671636319873,0.166798603573132,0.225437509923215,0.601334789118341
fin24bor,856.0,0.11497025023685213,0.055836967693462754,0.0052502095787515,0.08048911522455335,0.1131379979080755,0.13932121688585025,0.327891521317106
fin24sell,1130.0,0.14003780151012651,0.06934541955713018,0.0,0.09707590204833642,0.136639442806318,0.18350495345819523,0.342555277866348
fin24other,257.0,0.024053806865129455,0.019075895407892885,0.0,0.0089813606063643,0.0199370213394615,0.0319059190955109,0.0996452181065794
fin24aVD,2908.0,0.33237710349139693,0.141560278232087,0.0271081530930976,0.22128196953803625,0.33290755098818203,0.43977465324979426,0.781540856740838
