,Missing Count,Missing %
con32h_s,8576,99.99
con17c_s,8576,99.99
con5a_s,8576,99.99
fin32_33_34b_s,8576,99.99
con26m_s,8576,99.99
con13_s,8576,99.99
con12m_s,8576,99.99
fing2p_card_s,8576,99.99
fin37_38_39d_s,8576,99.99
con28lm_s,8576,99.99
con26lm_s,8575,99.98
fin32_33_34c_s,8575,99.98
fin13f_1_s,8574,99.97
con2e_s,8574,99.97
fin37_39b_s,8573,99.95
fin32_33_34d_s,8573,99.95
con12w_s,8572,99.94
fin6n_s,8572,99.94
con2c_s,8572,99.94
fin37_38_39b_s,8571,99.93
fin17dw_s,8571,99.93
con2f_s,8571,99.93
fin5n_s,8571,99.93
fin25e3lm_s,8571,99.93
fin37_39d_s,8571,99.93
fin24d3_s,8569,99.91
con15_s,8569,99.91
fin43b_s,8569,99.91
con10_s,8569,99.91
fin13bw_s,8568,99.9
con31c_s,8568,99.9
fin11_1_s,8568,99.9
fin13aw_s,8566,99.87
con5b_s,8566,99.87
con31f_s,8564,99.85
fing2p_mob_s,8564,99.85
fin13cw_s,8564,99.85
fin13f_s,8563,99.84
fin32_n33_34d_s,8563,99.84
con28d_s,8563,99.84
fin42_acc_s,8562,99.83
con17d_s,8562,99.83
con2b_s,8561,99.81
con2g_s,8561,99.81
fin38_39c_s,8561,99.81
fin13_1b_s,8560,99.8
fin21_s,8560,99.8
con2d_s,8560,99.8
con29_s,8559,99.79
fin5w_s,8559,99.79
con30f_s,8558,99.78
fin14b_s,8558,99.78
fin14a_s,8557,99.77
fin36Ab,8557,99.77
fin36Aa,8557,99.77
fin32_n33_34b_s,8556,99.76
con31h_s,8556,99.76
fin37_39c_s,8556,99.76
fin13cm_s,8555,99.74
fin25e3m_s,8555,99.74
fin13bm_s,8554,99.73
fin13clm_s,8553,99.72
fin13_1a_s,8553,99.72
fin11c_s,8553,99.72
fin13am_s,8552,99.71
fin13alm_s,8552,99.71
fin13blm_s,8552,99.71
fin34d_s,8552,99.71
fin14c_s,8552,99.71
fin11f_s,8551,99.7
con26w_s,8550,99.69
con4_s,8550,99.69
inactive_t_d_s,8548,99.66
con3a_s,8548,99.66
fin37_38_39c_s,8547,99.65
fin11a_s,8546,99.64
fin5lm_s,8546,99.64
fing2p_cash_s,8542,99.59
fin14d_s,8542,99.59
fin6lm_s,8541,99.58
con23_s,8540,99.57
fin13bn,8540,99.57
fin13cn,8540,99.57
fin27b_s,8540,99.57
fin11b_s,8540,99.57
fin13an,8540,99.57
con31d_s,8537,99.53
fin34b_s,8535,99.51
con31b_s,8535,99.51
fin17dlm_s,8535,99.51
fin6w_s,8534,99.5
